site,city,town
白石湖吊橋,台北市,內湖區
天文科學教育館,台北市,士林區
郵政博物館,台北市,中正區
劍潭古寺,台北市,中山區
內湖碧山巖,台北市,內湖區
西本願寺廣場,台北市,萬華區
台北故宮,台北市,士林區
台北植物園,台北市,中正區
松山文創園區,台北市,信義區
台北古城門,於北市,中正區
總統府Taipei景點介紹,臺北市,中正區
臺北賓館,台北市,中正區
台北市孔廟,於北市,大同區
迪化老街,台北市,大同區
天母生活市集,台北市,士林區
台北永康商圈,台北市,大安區
北投溫泉博物館,台北市,北投區
行天宮,台北市,中山區
228和平公園,台北市,中正區
七星公園,台北市,士林區
軍艦岩,台北市,北投區
關渡風情,台北市,北投區
石碇千島湖,新北市,石碇區
土城桐花公園,新北市,土城區
石門洞,新北市,石門區
富基漁港,新北市,石門區
龜吼漁港,新北市,萬里區
報時山步道,新北市,瑞芳區
新北市．淡水文化園區,新北市,淡水區
淡水海關碼頭園區,新北市,淡水區
淡水「一滴水紀念館」,新北市,淡水區
三鶯藝術村,新北市,鶯歌區
林口彩虹殿堂,新北市,林口區
林口水牛坑,新北市,林口區
三貂角燈塔,新北市,貢寮區
淡水情人塔,新北市,淡水區
清水祖師廟,新北市,三峽區
中和圓通禪寺,新北市,中和區
新北恐龍園區,新北市,中和區
金瓜石風光,新北市,瑞芳區
番仔澳深澳漁港,新北市,瑞芳區
世界宗教博物館,新北市,永和區
新北貢寮~靈鷲山無生道場,新北市,貢寮區
新北市眷村文化園區,新北市,三重區
八里~米飛園區,新北市,八里區
八里商港防災公園,新北市,八里區
坪林風光,新北市,坪林區
新山夢湖,新北市,汐止區
中和烘爐地,新北市,中和區
板橋林家花園,新北市,板橋區
北海岸風光,新北市,石門區
福隆海水浴場,新北市,貢寮區
承天禪寺,新北市,土城區
菁桐老街,新北市,平溪區
三峽老街,新北市,三峽區
內洞森林遊樂區,新北市,烏來區
龍洞灣,新北市,貢寮區
三峽藍染,新北市,三峽區
淡水天元宮,新北市,淡水區
石碇風光,新北市,石碇區
深坑老街,新北市,深坑區
金山老街,新北市,金山區
八煙聚落,新北市,金山區
淡水賞紫藤,新北市,淡水區
三芝水車,新北市,三芝區
新店~青立方休閒農場,新北市,新店區
老梅石槽,新北市,石門區
滬尾砲台,新北市,淡水區
野柳風光,新北市,萬里區
猴硐風情,新北市,瑞芳區
碧潭風光,新北市,新店區
十三行博物館,新北市,八里區
新店燕子湖,新北市,新店區
卯澳漁村,新北市,貢寮區
星空草原,新北市,瑞芳區
富貴角燈塔,新北市,石門區
黃金瀑布,新北市,瑞芳區
板橋‧435藝文特區,新北市,板橋區
台灣玩具博物館,新北市,板橋區
新北市~新月橋,新北市,板橋區
石門風力發電站,新北市,石門區
三峽~熊空茶園,新北市,三峽區
陽光運動公園,新北市,新店區
石岡風情,台中市,石岡區
台中彩虹眷村,台中市,南屯區
清水荷花古厝,台中市,清水區
雪霸公園,苗栗縣,泰安鄉
武陵農場,台中市,和平區
高美濕地,台中市,清水區
大甲鎮瀾宮,台中市,大甲區
新社悠遊,台中市,新社區
彰化八卦山,彰化縣,彰化市
鹿港龍山寺,彰化縣,鹿港鎮
鹿港桂花巷藝術村,彰化縣,鹿港鎮
王功漁港,彰化縣,芳苑鄉
福興手工麵線,彰化縣,福興鄉
溪湖糖廠,彰化縣,溪湖鎮
溪頭風光,南投縣,鹿谷鄉
溪頭妖怪村,南投縣,鹿谷鄉
杉林溪,南投縣,竹山鎮
清境農場,南投縣,仁愛鄉
竹山紫南宮,南投縣,竹山鎮
古坑綠色隧道,雲林縣,古坑鄉
北港朝天宮,雲林縣,北港鎮
北港老街,雲林縣,北港鎮
口湖烏魚子,雲林縣,口湖鄉
斗六太平老街,雲林縣,斗六市
南投中興新村,南投縣,南投市
西螺醬油博物館,雲林縣,西螺鎮
西螺風光,雲林縣,西螺鎮
集集車站,南投縣,集集鎮
斗南他里霧,雲林縣,斗南鎮
奮起湖風光,嘉義縣,竹崎鄉
高跟鞋教堂,嘉義縣,布袋鎮
東石蚵之鄉,嘉義縣,東石鄉
新港板頭村,嘉義縣,新港鄉
新港奉天宮,嘉義縣,新港鄉
億載金城,台南市,安平區
安平古堡,台南市,安平區
台南運河,台南市,安平區
台南鹽田,台南市,北門區
延平郡王祠,台南市,中西區
神農老街、正興老街,台南市,中西區
七股鹽山,台南市,七股區
台南鹿耳門,台南市,安南區
南鯤鯓代天府,台南市,北門區
德記洋行,台南市,安平區
安平樹屋,台南市,安平區
安平劍獅,台南市,安平區
土溝彩繪村,台南市,後壁區
白河蓮花風情,台南市,白河區
台南都會公園,台南市,仁德區
安平漁港‧安平老街,台南市,安平區
台南移民署&知事官邸,台南市,中西區
高雄燈塔,高雄市,旗津區
佛光山佛陀紀念館,高雄市,大樹區
愛河之心,高雄市,三民區
蓮池潭,高雄市,左營區
真愛碼頭,高雄市,鹽埕區
駁二藝術特區,高雄市,鹽埕區
美濃風情,高雄市,美濃區
高雄澄清湖,高雄市,鳥松區
旗津風光,高雄市,旗津區
田寮月世界,高雄市,田寮區
哨船碼頭‧西子灣,高雄市,鼓山區
鳳山懷舊之旅,高雄市,鳳山區
東港大鵬灣,屏東縣,東港鎮
屏東東港~東隆宮,屏東縣,東港鎮
萬巒鄉情&豬腳美食,屏東縣,萬巒鄉
鵝鑾鼻燈塔,屏東縣,恆春鎮
